_posError:0.0234287	_velError:-0.0764723	mass:4.22369	_posBody:0.296571	_velBody:0.0764723
_posError:0.0228534	_velError:-0.0740068	mass:4.24124	_posBody:0.297147	_velBody:0.0740068
_posError:0.0223163	_velError:-0.0715795	mass:4.2585	_posBody:0.297684	_velBody:0.0715795
_posError:0.0217923	_velError:-0.0693666	mass:4.27536	_posBody:0.298208	_velBody:0.0693666
_posError:0.0212944	_velError:-0.0670688	mass:4.29194	_posBody:0.298706	_velBody:0.0670688
_posError:0.0208058	_velError:-0.0646767	mass:4.30817	_posBody:0.299194	_velBody:0.0646767
_posError:0.0203339	_velError:-0.0622668	mass:4.3241	_posBody:0.299666	_velBody:0.0622668
_posError:0.0198809	_velError:-0.0598788	mass:4.33975	_posBody:0.300119	_velBody:0.0598788
_posError:0.0194558	_velError:-0.0576002	mass:4.35516	_posBody:0.300544	_velBody:0.0576002
_posError:0.0190751	_velError:-0.0556057	mass:4.37043	_posBody:0.300925	_velBody:0.0556057
_posError:0.0187004	_velError:-0.0536445	mass:4.38542	_posBody:0.3013	_velBody:0.0536445
_posError:0.0183494	_velError:-0.0516828	mass:4.40023	_posBody:0.301651	_velBody:0.0516828
_posError:0.018009	_velError:-0.0497002	mass:4.41483	_posBody:0.301991	_velBody:0.0497002
_posError:0.01768	_velError:-0.0476864	mass:4.42923	_posBody:0.30232	_velBody:0.0476864
_posError:0.0173666	_velError:-0.0456979	mass:4.44345	_posBody:0.302633	_velBody:0.0456979
_posError:0.0170919	_velError:-0.0440751	mass:4.45758	_posBody:0.302908	_velBody:0.0440751
_posError:0.0168074	_velError:-0.0422381	mass:4.47148	_posBody:0.303193	_velBody:0.0422381
_posError:0.016526	_velError:-0.0403	mass:4.48519	_posBody:0.303474	_velBody:0.0403
_posError:0.016252	_velError:-0.0382932	mass:4.49874	_posBody:0.303748	_velBody:0.0382932
_posError:0.0159893	_velError:-0.0363303	mass:4.51215	_posBody:0.304011	_velBody:0.0363303
_posError:0.0157444	_velError:-0.0346302	mass:4.52542	_posBody:0.304256	_velBody:0.0346302
_posError:0.015518	_velError:-0.032829	mass:4.53861	_posBody:0.304482	_velBody:0.032829
_posError:0.0152902	_velError:-0.0311248	mass:4.55161	_posBody:0.30471	_velBody:0.0311248
_posError:0.0150787	_velError:-0.0295084	mass:4.56453	_posBody:0.304921	_velBody:0.0295084
_posError:0.0148707	_velError:-0.0278355	mass:4.57731	_posBody:0.305129	_velBody:0.0278355
_posError:0.0146801	_velError:-0.0262561	mass:4.59003	_posBody:0.30532	_velBody:0.0262561
_posError:0.014507	_velError:-0.024879	mass:4.60267	_posBody:0.305493	_velBody:0.024879
_posError:0.0143423	_velError:-0.0235947	mass:4.61521	_posBody:0.305658	_velBody:0.0235947
_posError:0.0141793	_velError:-0.0222334	mass:4.62766	_posBody:0.305821	_velBody:0.0222334
_posError:0.0140241	_velError:-0.0208811	mass:4.64003	_posBody:0.305976	_velBody:0.0208811
_posError:0.0138787	_velError:-0.0195831	mass:4.65234	_posBody:0.306121	_velBody:0.0195831
_posError:0.0137471	_velError:-0.0184208	mass:4.6646	_posBody:0.306253	_velBody:0.0184208
_posError:0.0136315	_velError:-0.0174474	mass:4.67682	_posBody:0.306369	_velBody:0.0174474
_posError:0.0135186	_velError:-0.016536	mass:4.68897	_posBody:0.306481	_velBody:0.016536
_posError:0.0134108	_velError:-0.0156187	mass:4.70106	_posBody:0.306589	_velBody:0.0156187
_posError:0.0133086	_velError:-0.0147216	mass:4.7131	_posBody:0.306691	_velBody:0.0147216
_posError:0.0132109	_velError:-0.0138606	mass:4.72509	_posBody:0.306789	_velBody:0.0138606
_posError:0.013118	_velError:-0.0130246	mass:4.73704	_posBody:0.306882	_velBody:0.0130246
_posError:0.0130385	_velError:-0.0123053	mass:4.74897	_posBody:0.306961	_velBody:0.0123053
_posError:0.012958	_velError:-0.0116835	mass:4.76082	_posBody:0.307042	_velBody:0.0116835
_posError:0.0128832	_velError:-0.0110566	mass:4.77265	_posBody:0.307117	_velBody:0.0110566
_posError:0.0128101	_velError:-0.0104728	mass:4.78443	_posBody:0.30719	_velBody:0.0104728
_posError:0.0127396	_velError:-0.00989775	mass:4.79617	_posBody:0.30726	_velBody:0.00989775
_posError:0.012672	_velError:-0.00936947	mass:4.80786	_posBody:0.307328	_velBody:0.00936947
_posError:0.0126081	_velError:-0.00888109	mass:4.81952	_posBody:0.307392	_velBody:0.00888109
